alpha,a,b,c,phi1,PHI,phi2,volume,old_gid,phaseID
10.554683685302734,2.1989762783050537,1.5509623289108276,2.1989762783050537,11.783314656725095,93.93218238880266,96.11619010853009,31.41455841064453,1883,2
17.286365509033203,0.8348631858825684,0.7302197217941284,0.8348631858825684,150.72197895091742,95.05423370095527,342.2482540111569,2.1319291591644287,176,2
172.44451904296875,3.096330165863037,1.0557568073272705,3.096330165863037,47.10489098462496,83.53230581544125,152.61679162805999,42.398162841796875,437,2
0.46699777245521545,1.4196690320968628,0.8651928901672363,1.4196690320968628,114.3593721035482,77.61373676306609,133.30160379012707,7.304252624511719,1136,2
12.13625717163086,0.744147777557373,0.6244103312492371,0.744147777557373,83.24892636923873,34.71676840545299,165.66875080695655,1.448361873626709,2160,2
177.88327026367188,1.7996546030044556,1.3064842224121094,1.7996546030044556,276.8066646369678,74.0099654617476,161.76678540139727,17.724382400512695,1206,2
66.40544128417969,0.5168193578720093,0.6218720078468323,0.5168193578720093,173.02271501094629,111.70103121784632,320.80934549359597,0.6957723498344421,1982,2
138.92662048339844,2.1555659770965576,1.0390236377716064,2.1555659770965576,212.74675603127685,109.40827826309437,59.8058426760126,20.22258758544922,2089,2
170.75491333007812,1.3089269399642944,0.9594438672065735,1.3089269399642944,83.25708746686398,127.7273801735983,115.01487602331707,6.885555744171143,1390,2
170.95921325683594,5.660848617553711,4.055243015289307,5.660848617553711,263.41267640943664,133.82219071071083,183.2999443257999,544.3379516601562,2005,2
163.0758514404297,2.249633550643921,1.1090906858444214,2.249633550643921,0.7771828184012547,84.56497965769567,163.98946904113126,23.511442184448242,512,2
52.142181396484375,0.5723181366920471,0.6551295518875122,0.5723181366920471,119.26285710999574,131.5310385852113,274.3886664730166,0.8988575339317322,1375,2
164.29246520996094,0.9904847145080566,0.6339683532714844,0.9904847145080566,32.31064837193401,84.87401600048972,236.91641191648878,2.605264186859131,1278,2
85.13513946533203,0.581287682056427,0.6661677360534668,0.581287682056427,314.1813268828768,63.21941981012557,272.870529123398,0.9428756833076477,2428,2
63.597354888916016,0.5917937159538269,0.77903813123703,0.5917937159538269,322.49373986708525,151.0135387706775,32.93205611495958,1.1428468227386475,693,2
110.92677307128906,0.5414888858795166,0.6341018676757812,0.5414888858795166,80.25643268827079,63.59399964451838,171.2190581440976,0.778801441192627,2229,2
165.18736267089844,1.9252442121505737,0.769245982170105,1.9252442121505737,191.97368040594404,66.00635368100238,118.86839587924364,11.94333267211914,199,2
37.73240280151367,0.6140596866607666,0.5463330149650574,0.6140596866607666,104.93620689451966,96.92276910781561,141.4356499252527,0.8629134297370911,224,2
47.194358825683594,1.5860626697540283,2.366814374923706,1.5860626697540283,328.30703039259686,104.23370226690756,40.05093300787481,24.939830780029297,1195,2
9.71938419342041,1.5156514644622803,1.1548986434936523,1.5156514644622803,297.00826073512167,131.49169730091245,14.866164895857745,11.112997055053711,2469,2
15.646937370300293,5.552163600921631,3.8783159255981445,5.552163600921631,190.12895060267803,159.58818145991856,349.55658556244407,500.790771484375,1119,2
0.3228897452354431,0.9372185468673706,0.574859082698822,0.9372185468673706,291.03348945147326,75.91437895336152,30.76262394282085,2.1151041984558105,1532,2
20.955461502075195,0.8442287445068359,0.5234493613243103,0.8442287445068359,7.615484301914692,123.51598211364337,129.20454248028489,1.5627285242080688,1663,2
