alpha,a,b,c,phi1,PHI,phi2,volume,phaseID
34.402443,9.504418,8.5888405,9.504418,282.4026467904222,96.37090526495481,49.706008263457825,3249.932,1
144.50124,3.3412163,1.8681146,3.3412163,335.43668696463914,99.64736690157316,34.407073081532594,87.35773,1
2.172043,1.1942743,0.46469358,1.1942743,106.7338198832748,100.18053630647628,18.435779326419368,2.776281,1
101.869446,0.78273237,0.9385045,0.78273237,93.32053974682631,74.91929030872389,244.9180777538601,2.4085274,1
1.5053148,7.826983,2.969385,7.826983,266.8793389431021,40.446852404665805,354.4868458810806,761.9806,1
125.36688,2.3085263,2.3929634,2.3085263,39.13302466470679,140.02206027252973,284.46325374830616,53.41882,1
161.38658,3.0846033,1.9201312,3.0846033,320.50145064957576,68.22683125084998,140.31536137340214,76.52761,1
23.438698,0.95267504,0.41915077,0.95267504,280.04736437902636,97.32146594226563,279.57777880480404,1.5934868,1
0.8736953,10.18858,3.833284,10.18858,222.5192875832265,86.2547479106852,201.3946909371675,1666.813,1
3.1770868,9.451825,1.5396942,9.451825,226.79933038412878,121.7781675220733,140.80926871832543,576.17505,1
113.279816,4.601913,4.835459,4.601913,275.8432122576774,93.90031527103423,80.56954871571203,428.94656,1
46.037773,3.0540717,3.3750741,3.0540717,29.80628202515707,22.072962571767793,241.16373143039763,131.86526,1
30.11519,4.479902,2.7887037,4.479902,208.55082097785805,166.37085064095396,300.1877667027396,234.43799,1
139.32149,1.0305556,0.7909582,1.0305556,301.4431943649174,56.96203450470255,98.16694156206194,3.5187228,1
176.66579,1.1220431,0.60279113,1.1220431,164.62647442337905,65.96735929802516,145.04354927765468,3.1788836,1
166.90633,6.3373213,4.375527,6.3373213,203.28238366140351,110.27896010666149,195.40770498909635,736.0892,1
4.906036,1.3098955,0.74586546,1.3098955,203.22593702854698,69.67039352279566,255.94706529548714,5.3607116,1
109.84849,0.41185603,1.1747173,0.41185603,329.07974067594733,21.47497882039037,134.86999470940745,0.8346662,1
178.01898,2.053344,0.88006437,2.053344,258.6043793541184,122.90041915848798,194.91056944144117,15.542702,1
0.13563374,7.4897394,2.6565661,7.4897394,56.9646863092365,144.92437636501907,216.66479856364796,624.2271,1
68.49254,1.0339489,2.1896918,1.0339489,188.67228395278437,99.37743762304558,5.056743911886434,9.8055,1
7.21558,1.0642467,0.8239951,1.0642467,114.69085039395321,21.709832224611535,286.02130037159134,3.9092896,1
0.7231541,11.521245,1.8632888,11.521245,193.33486672707835,133.89505231838356,277.55198746524894,1036.0187,1
8.822477,1.1238822,0.45653006,1.1238822,6.258599856460392,126.42224985529913,309.2285066832052,2.4154584,1
52.346085,1.0518516,1.2650884,1.0518516,3.7739132885945748,131.44360806217168,227.10312428760645,5.862981,1
135.45215,0.7997764,0.64215475,0.7997764,216.3642128330288,91.68215727065666,318.3005227085294,1.7205427,1
1.2817346,3.47515,2.2581728,3.47515,237.092536450048,60.81812809684841,320.4385793648883,114.23335,1
99.29648,1.6703553,2.0357382,1.6703553,121.25526521116711,155.17463268352265,73.72365774901671,23.791853,1
178.67883,9.411977,1.9605151,9.411977,152.91589769789263,28.89336357057114,63.947889795569246,727.4791,1
166.95187,1.001255,0.5077307,1.001255,120.92050682244276,14.889295821099536,307.80083619131057,2.1321192,1
155.12471,5.8559937,2.3690805,5.8559937,147.76180526453138,46.544519183291214,169.85192538030574,340.30603,1
35.431118,1.0989377,0.9189872,1.0989377,325.7898481444262,9.857558253921578,220.80010189923297,4.6488366,1
64.6599,2.4159625,4.555849,2.4159625,358.8019716312592,85.79778064445436,122.25541127113262,111.38798,1
14.41142,1.5514472,1.4042435,1.5514472,171.80539524029606,108.653341150858,312.31998151028324,14.1581,1
178.5791,11.459755,3.9917722,11.459755,48.58574412069773,67.90332952033113,34.86095171530963,2195.8618,1
26.013304,1.631056,1.2143638,1.631056,347.4709103743636,94.098460127884,218.98835880752995,13.532411,1
156.01895,1.4854032,0.62023413,1.4854032,109.7928303067954,14.360234077435788,342.66203711120454,5.7323537,1
163.46393,1.0620991,0.5049786,1.0620991,319.55491172855943,96.35057076442452,132.2318652994037,2.3861165,1
68.17455,3.2689054,5.5154986,3.2689054,112.64449258403592,139.79734931889033,148.45147922341664,246.87558,1
2.9281445,2.4840658,0.7886622,2.4840658,243.75268038029228,141.03111241964794,60.169683417292745,20.384771,1
176.98006,2.3650157,0.37322527,2.3650157,257.0134607405025,85.66249012033401,105.01971294566313,8.744354,1
21.461975,5.772411,5.297172,5.772411,150.7667686271891,119.52471668679149,27.298077444585687,739.34503,1
100.23468,0.5602203,0.6507506,0.5602203,41.75740648537598,131.99703974176055,66.61633131468601,0.85550165,1
0.7182942,2.3962727,1.4512892,2.3962727,203.02108588227637,103.52375355166032,60.53833894207328,34.907204,1
73.11188,0.97585744,1.7722476,0.97585744,5.597947950085941,119.1993772901903,139.486640328406,7.0694523,1
138.63533,3.968175,2.2257185,3.968175,51.10171138342572,147.182760507542,276.13115392252433,146.80489,1
138.45369,2.1539783,1.5687459,2.1539783,216.36740877861826,85.80912951492621,147.00678947737106,30.487646,1
23.279541,1.864429,1.0703893,1.864429,233.91867753031912,54.802826496082204,141.66020595004966,15.5855465,1
153.19717,3.357682,2.7154155,3.357682,54.439259786495924,103.15186580951624,25.789374368683966,128.23425,1
17.858606,4.7304106,2.258804,4.7304106,56.85108405815456,144.09424640253656,173.6790343803202,211.72144,1
177.83807,2.5101497,0.97261184,2.5101497,331.7576361435506,131.00882138286775,310.6576018356902,25.670094,1
