alpha,a,b,c,phi1,PHI,phi2,volume,phaseID
34.402443,9.504418,8.5888405,9.504418,109.74139011189273,35.41048254240787,98.89044591813018,3249.932,1
144.50124,3.3412163,1.8681146,3.3412163,62.28039915593631,14.696968373060061,155.9125683104165,87.35773,1
2.172043,1.1942743,0.46469358,1.1942743,186.1617639928281,137.41506862197866,249.45704474423573,2.776281,1
101.869446,0.78273237,0.9385045,0.78273237,283.7594260575114,98.87211104302457,59.06580092067482,2.4085274,1
1.5053148,7.826983,2.969385,7.826983,158.3996596459359,44.10410591242891,205.68889605406875,761.9806,1
125.36688,2.3085263,2.3929634,2.3085263,50.174918798645244,123.10420599856228,285.9408669108941,53.41882,1
161.38658,3.0846033,1.9201312,3.0846033,38.48479367654182,146.026925849617,330.21877281304126,76.52761,1
23.438698,0.95267504,0.41915077,0.95267504,336.522390497466,70.60456324774067,24.516180571695408,1.5934868,1
0.8736953,10.18858,3.833284,10.18858,149.46209455330788,118.30210919463441,292.9111391394401,1666.813,1
3.1770868,9.451825,1.5396942,9.451825,148.26437009870543,89.65016218410496,332.57116490846806,576.17505,1
113.279816,4.601913,4.835459,4.601913,70.73467307595978,108.86489604692137,188.34444141028726,428.94656,1
46.037773,3.0540717,3.3750741,3.0540717,148.26590191139516,79.81335578378946,29.208797284347742,131.86526,1
30.11519,4.479902,2.7887037,4.479902,190.01608394033752,83.74486163746273,32.21802106348777,234.43799,1
139.32149,1.0305556,0.7909582,1.0305556,237.16966286059204,30.60010679489989,206.74427007327944,3.5187228,1
176.66579,1.1220431,0.60279113,1.1220431,23.73635914803171,83.95440095290417,291.145860535753,3.1788836,1
166.90633,6.3373213,4.375527,6.3373213,45.99687536181802,75.92177401498331,36.068605604972795,736.0892,1
4.906036,1.3098955,0.74586546,1.3098955,343.0447964106798,108.63015446439934,340.6989724425888,5.3607116,1
109.84849,0.41185603,1.1747173,0.41185603,222.00334953824043,68.27236611565334,77.23509988791943,0.8346662,1
178.01898,2.053344,0.88006437,2.053344,151.7772695173605,50.727997494885265,92.11822434477601,15.542702,1
0.13563374,7.4897394,2.6565661,7.4897394,79.02039895827367,148.84036970990053,1.641806446072881,624.2271,1
68.49254,1.0339489,2.1896918,1.0339489,198.15968306943358,48.71070597958406,149.3511188159281,9.8055,1
7.21558,1.0642467,0.8239951,1.0642467,253.50057157994922,91.96042379443429,66.03846492202088,3.9092896,1
